ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.4.192.0/19', 'as-path': '13030 9498'}
ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.4.192.0/18', 'as-path': '13030 9498'}
ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.9.0.0/16', 'as-path': '13030 9498'}
routeviews route-views3 update 1446789125 valid A 104.192.216.1 46450 {'next-hop': '104.192.216.1', 'prefix': '1.9.177.0/24', 'as-path': '46450 6939 9498'}
ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.9.177.0/24', 'as-path': '13030 9498'}
ris rrc00 update 1446789125 valid A 146.228.1.3 1836 {'next-hop': '146.228.1.3', 'prefix': '1.9.177.0/24', 'as-path': '1836 13030 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.4.192.0/18', 'as-path': '24482 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.4.192.0/19', 'as-path': '24482 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.4.128.0/17', 'as-path': '24482 9498'}
ris rrc13 update 1446789125 valid A 193.232.244.147 28917 {'next-hop': '193.232.244.147', 'prefix': '1.9.177.0/24', 'as-path': '28917 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.20 6939 {'next-hop': '198.32.176.20', 'prefix': '1.9.0.0/16', 'as-path': '6939 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.20 6939 {'next-hop': '198.32.176.20', 'prefix': '1.9.177.0/24', 'as-path': '6939 9498'}
ris rrc12 update 1446789125 valid A 80.81.194.140 25220 {'next-hop': '80.81.194.140', 'prefix': '1.4.192.0/19', 'as-path': '25220 9498'}
ris rrc12 update 1446789125 valid A 80.81.194.140 25220 {'next-hop': '80.81.194.140', 'prefix': '1.4.128.0/17', 'as-path': '25220 9498'}
ris rrc12 update 1446789125 valid A 80.81.194.140 25220 {'next-hop': '80.81.194.140', 'prefix': '1.4.192.0/18', 'as-path': '25220 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.226 24482 {'next-hop': '194.68.123.226', 'prefix': '1.9.0.0/16', 'as-path': '24482 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.217 8455 {'next-hop': '80.249.211.217', 'prefix': '1.9.0.0/16', 'as-path': '8455 9498'}
routeviews route-views.linx update 1446789125 valid A 195.66.224.21 6939 {'next-hop': '195.66.224.21', 'prefix': '1.9.0.0/16', 'as-path': '6939 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.226 24482 {'next-hop': '194.68.123.226', 'prefix': '1.9.177.0/24', 'as-path': '24482 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.9.0.0/16', 'as-path': '24482 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.217 8455 {'next-hop': '80.249.211.217', 'prefix': '1.9.177.0/24', 'as-path': '8455 9498'}
ris rrc12 update 1446789125 valid A 80.81.192.74 13237 {'next-hop': '80.81.192.74', 'prefix': '1.4.192.0/18', 'as-path': '13237 9498'}
ris rrc12 update 1446789125 valid A 80.81.192.74 13237 {'next-hop': '80.81.192.74', 'prefix': '1.4.192.0/19', 'as-path': '13237 9498'}
ris rrc12 update 1446789125 valid A 80.81.192.74 13237 {'next-hop': '80.81.192.74', 'prefix': '1.4.128.0/17', 'as-path': '13237 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.9.177.0/24', 'as-path': '24482 9498'}
ris rrc13 update 1446789125 valid A 193.232.244.136 39792 {'next-hop': '193.232.244.136', 'prefix': '1.4.192.0/19', 'as-path': '39792 9498'}
